434,2628
590,593
50,593
593,1197
223,1265
380,153
165,2571
608,1136
288,2028
593,231
357,1721
587,2571
590,2028
349,597
356,457
367,858
288,1580
62,296
356,1089
317,7361
318,79132
349,231
288,34
111,79132
480,1210
16,1089
111,593
1,2628
292,457
141,1
357,595
590,1240
34,6539
380,356
19,500
104,6539
153,1
500,364
593,5952
292,7153
292,593
110,296
344,2028
292,4306
597,1240
592,110
594,1580
62,8961
104,4886
50,858
318,47
317,2959
6,316
165,1291
592,648
594,593
39,1197
141,4886
434,593
594,364
593,608
111,8961
318,318
292,6539
434,1136
47,500
597,1197
292,377
223,4226
141,2959
368,10
19,1
349,367
39,2762
541,344
594,589
318,153
380,2762
34,2571
551,79132
368,480
50,296
480,2329
593,344
318,1265
594,380
39,858
357,592
434,356
6,50
141,296
165,1197
318,2628
231,2571
317,593
50,356
19,589
592,344
539,318
47,1265
608,1291
39,589
594,592
95,1221
62,5952
480,260
480,47
597,1291
32,50
592,10
434,316
380,165
19,592
364,260
32,1197
597,1036
454,6874
19,588
590,50
377,344
480,356
356,318
541,592
539,1197
357,6377
39,1221
329,858
288,58559
317,318
608,480
47,597
380,58559
39,364
318,7153
288,380
539,527
339,2762
339,1221
597,2858
19,1200
16,318
357,260
16,260
368,1200
608,1089
141,1270
434,2028
318,1270
586,2571
367,2762
356,2028
527,595
608,50
500,260
593,4306
141,2028
6,597
480,380
21,2762
288,1721
62,2628
597,588
339,3578
541,589
296,79132
344,2858
339,1213
288,10
480,1213
608,1210
288,1196
292,780
317,32
593,8961
592,457
21,588
608,1
253,608
10,2571
6,296
339,527
590,5952
318,7361
296,2028
367,3793
593,2858
368,377
208,2762
597,50
32,318
480,296
6,110
356,6539
588,592
541,648
457,1136
316,5952
2,58559
337,648
32,648
19,377
329,318
16,2762
594,2762
339,356
344,4306
539,1265
594,457
47,590
434,1
296,2628
608,260
39,296
141,6377
357,1291
434,34
62,2762
21,597
457,2762
357,2858
10,2959
344,2571
1,1136
590,2628
357,58559
594,648
377,1214
21,356
597,457
500,4306
587,1193
349,34
349,296
223,367
288,500
50,4306
110,2959
317,356
590,1197
153,2959
339,4306
288,589
349,364
551,4993
104,367
141,1580
434,318
434,367
480,5952
588,364
594,316
480,150
590,110
223,8961
1,1198
223,593
541,316
434,780
590,1265
150,648
21,293
588,10
223,2571
480,2858
380,2028
592,589
337,32
111,595
292,1193
377,150
339,5952
357,780
590,592
21,6539
368,296
34,5952
141,6539
111,2571
19,1214
19,1196
586,260
19,1270
539,4886
593,1210
288,457
1,296
1,593
368,1197
586,7153
39,593
110,47
32,527
480,377
62,3578
292,367
588,316
344,4226
339,1682
141,58559
480,4886
608,150
500,1265
296,318
1,1213
223,1721
608,6874
590,457
480,1196
594,780
292,231
380,1580
593,2959
434,8961
1,110
434,7361
597,356
368,260
16,2329
141,356
39,592
593,593
1,1240
153,4226
590,541
339,7361
19,10
231,589
364,32
590,32
608,364
1,1210
6,293
288,3578
480,1
231,1291
288,1240
480,1721
223,2628
594,3793
10,3578
141,1265
95,541
590,3793
208,10
608,296
454,296
34,10
288,231
590,2858
50,1682
344,260
480,367
260,50
19,1198
457,480
586,2028
317,3578
380,2571
110,541
608,367
480,364
357,1580
231,2858
62,318
95,608
223,595
62,7153
339,858
608,597
19,47
590,1221
339,2858
344,3793
597,1580
608,2959
223,3793
104,110
288,1270
16,1213
339,7153
110,608
161,1
223,110
39,1196
111,58559
288,260
367,356
380,1197
480,318
541,597
95,1214
95,1270
62,7361
19,1089
1,1089
95,1036
39,2571
288,592
597,858
25,2028
317,50
357,50
480,541
104,7361
597,2028
480,1240
608,6377
62,1291
434,1291
165,1210
608,858
541,293
25,58559
21,3793
62,2959
110,110
541,608
104,5952
608,500
300,79132
318,6874
608,7153
32,260
434,6377
223,47
356,50
380,4886
367,1270
21,480
590,150
344,1270
111,500
339,541
316,2858
357,500
47,2959
21,1721
590,6874
223,1
357,79132
141,1682
1,356
541,588
527,590
608,4993
16,79132
62,1580
339,1270
231,1270
62,47
590,380
1,367
21,1196
141,1210
318,780
21,1291
21,8961
590,58559
292,344
39,1089
597,34
153,527
111,356
50,1036
592,380
318,5952
111,1197
1,780
480,2028
104,8961
380,541
587,296
589,356
588,231
590,1580
339,1291
288,356
527,364
608,1200
329,593
589,527
141,8961
587,1270
539,2329
288,597
357,597
590,595
318,356
590,480
608,1221
111,597
260,3578
434,480
25,260
608,588
296,356
597,377
47,593
434,541
434,47
39,2858
62,1210
104,592
593,500
292,364
588,593
594,1210
2,79132
380,260
208,589
356,316
300,7361
223,608
337,318
595,50
185,588
32,296
357,4306
368,1221
6,367
500,480
288,153
111,364
25,4993
292,1
357,356
608,527
165,1221
288,367
16,356
16,7153
593,6539
153,597
161,380
357,1089
480,590
356,2959
231,1240
357,1
293,1682
292,541
293,593
480,480
300,2329
551,4226
367,1704
527,1270
586,1291
608,47
6,10
111,318
19,3578
288,1136
21,367
318,648
19,2858
50,2959
440,1214
527,480
288,780
153,1721
357,1197
434,500
104,356
434,1200
62,4306
62,356
368,608
380,858
19,380
300,2762
318,595
141,780
1,592
317,8961
608,2762
110,2858
141,1196
608,318
21,589
480,2959
292,2028
593,1721
62,58559
551,1721
337,260
551,1210
6,589
357,8961
434,380
480,1270
590,858
587,32
300,2571
21,6874
32,1036
593,364
590,1291
21,1198
153,356
153,364
594,1721
593,527
551,2571
590,1721
16,858
21,58559
590,597
597,500
586,4993
296,296
593,780
34,589
541,590
21,1210
111,4306
380,4306
434,1721
223,2762
590,589
349,500
95,1210
317,2762
480,165
594,595
589,780
587,590
50,6874
597,47
104,608
19,34
480,592
357,296
288,1213
288,527
551,7153
357,1682
593,318
111,6874
288,2959
357,1213
608,608
288,7361
344,1210
62,6539
592,296
586,2762
367,318
317,1200
39,457
480,2571
480,50
317,1193
19,153
16,5952
344,316
19,293
288,588
357,588
25,5952
434,4306
434,2762
34,4226
19,1193
367,1136
25,7153
110,1198
260,2329
21,1
356,58559
590,500
608,6539
380,1291
153,1682
1,480
300,318
95,32
357,150
6,527
588,589
480,1214
434,648
19,2959
296,527
292,1214
141,4306
541,356
589,296
357,318
377,1200
357,1198
434,1197
380,6539
223,4306
50,4886
34,110
223,1704
500,2858
364,1
434,344
231,527
16,1197
141,5952
368,858
434,6874
587,1
50,2571
1,2028
10,2858
380,1265
16,593
19,231
19,344
95,480
1,1580
39,50
593,1196
586,1270
104,2628
6,231
551,356
586,527
597,1265
597,1221
6,593
593,595
292,589
608,5952
592,500
551,1704
597,1196
586,4886
594,3578
380,1213
141,47
141,4993
590,367
590,3578
592,590
339,4226
288,4886
110,2762
292,595
34,2762
95,2028
1,47
541,10
6,780
288,318
150,32
480,588
318,1580
380,110
292,34
380,344
231,58559
597,1270
292,1210
317,2329
260,6874
19,597
589,150
380,1136
317,1213
141,150
292,2762
590,2571
300,527
356,1291
317,58559
356,2571
337,1210
380,3793
288,595
608,457
608,595
551,2959
589,231
593,34
317,1089
25,1198
111,2329
318,1682
608,1240
6,595
292,1036
597,1198
10,296
586,380
597,589
608,3578
593,356
6,150
111,588
434,2329
608,231
500,1580
367,1
380,500
590,1213
480,6377
597,153
19,541
357,480
292,1136
50,1
551,589
19,1580
356,1036
318,2858
356,2858
541,110
410,296
380,377
185,364
339,47
339,1
590,364
608,377
380,4226
62,110
16,7361
597,648
592,318
19,1197
318,377
288,1036
592,597
39,260
586,110
34,2959
104,1270
104,4226
10,6377
527,1196
527,1214
586,1210
586,6539
588,344
39,1036
368,47
288,4993
592,480
19,1136
551,2762
19,1240
19,480
597,110
594,150
592,364
588,47
288,32
288,608
1,1
10,2762
316,6874
539,8961
595,2628
34,6874
111,6539
410,318
594,1240
111,1580
300,1704
357,2762
339,1198
339,648
349,165
317,608
434,2858
153,1198
593,1221
368,2858
480,3578
356,541
434,589
339,8961
317,4306
527,34
231,593
551,1036
339,296
592,593
608,590
95,1089
39,1214
1,457
368,1580
95,1291
337,47
317,2858
590,165
318,364
292,1291
32,32
185,1721
231,1200
104,260
39,608
590,1036
480,858
608,2571
597,380
590,377
318,4886
480,34
111,1682
380,2628
260,4226
10,597
62,858
500,595
480,4226
597,10
480,597
292,32
380,595
592,592
590,344
480,293
50,6539
