1,1,4.0
1,47,5.0
1,50,5.0
1,110,4.0
1,231,5.0
1,260,5.0
1,296,3.0
1,316,3.0
1,356,4.0
1,367,4.0
1,457,5.0
1,480,4.0
1,500,3.0
1,527,5.0
1,590,4.0
1,592,4.0
1,593,4.0
1,608,5.0
1,648,3.0
1,780,3.0
1,1089,5.0
1,1136,5.0
1,1196,5.0
1,1197,5.0
1,1198,5.0
1,1210,5.0
1,1213,5.0
1,1214,4.0
1,1240,5.0
1,1265,4.0
1,1270,5.0
1,1291,5.0
1,1580,3.0
1,2028,4.0
1,2329,5.0
1,2571,5.0
1,2628,4.0
1,2858,5.0
1,2959,5.0
1,3578,5.0
1,3793,5.0
2,318,3.0
2,1704,4.5
2,3578,4.0
2,6874,4.0
2,58559,4.5
2,79132,4.0
6,10,3.0
6,32,4.0
6,34,4.0
6,47,4.0
6,50,1.0
6,110,5.0
6,150,4.0
6,153,3.0
6,165,3.0
6,231,3.0
6,293,3.0
6,296,2.0
6,316,5.0
6,318,5.0
6,344,3.0
6,356,5.0
6,364,5.0
6,367,4.0
6,377,5.0
6,380,4.0
6,457,5.0
6,480,5.0
6,500,5.0
6,527,3.0
6,588,5.0
6,589,3.0
6,590,5.0
6,592,3.0
6,593,4.0
6,595,5.0
6,597,4.0
6,608,3.0
6,780,5.0
10,296,1.0
10,356,3.5
10,588,4.0
10,597,3.5
10,2571,0.5
10,2762,0.5
10,2858,1.0
10,2959,0.5
10,3578,4.0
10,4306,4.5
10,4993,4.0
10,5952,4.0
10,6377,3.5
10,7153,4.0
10,8961,2.5
10,58559,4.5
16,47,3.5
16,50,4.0
16,260,3.0
16,293,4.0
16,296,3.0
16,318,4.0
16,356,3.5
16,527,4.0
16,541,4.5
16,593,3.0
16,608,4.5
16,858,2.5
16,1089,4.0
16,1136,4.0
16,1193,4.0
16,1196,3.0
16,1197,4.0
16,1198,3.5
16,1213,3.5
16,1214,4.0
16,1704,3.5
16,2329,3.5
16,2571,3.5
16,2762,3.5
16,2858,3.5
16,2959,3.5
16,4226,4.5
16,4993,3.5
16,5952,3.5
16,7153,3.5
16,7361,3.5
16,58559,4.5
16,79132,3.0
19,1,4.0
19,10,2.0
19,32,4.0
19,34,4.0
19,47,3.0
19,153,2.0
19,165,3.0
19,231,2.0
19,260,4.0
19,293,4.0
19,316,2.0
19,344,2.0
19,356,2.0
19,364,3.0
19,367,4.0
19,377,4.0
19,380,3.0
19,457,4.0
19,480,2.0
19,500,2.0
19,541,4.0
19,588,3.0
19,589,5.0
19,592,5.0
19,597,3.0
19,648,3.0
19,1089,3.0
19,1136,3.0
19,1193,4.0
19,1196,4.0
19,1197,5.0
19,1198,5.0
19,1200,3.0
19,1210,3.0
19,1214,4.0
19,1240,4.0
19,1265,4.0
19,1270,4.0
19,1291,5.0
19,1580,2.0
19,2571,4.0
19,2628,3.0
19,2762,4.0
19,2858,4.0
19,2959,5.0
19,3578,3.0
19,3793,4.0
21,1,3.5
21,10,5.0
21,165,3.5
21,260,4.5
21,293,3.0
21,296,3.5
21,356,4.5
21,364,4.0
21,367,3.0
21,480,4.0
21,500,2.5
21,541,3.5
21,588,4.0
21,589,3.5
21,592,3.5
21,597,4.0
21,648,4.5
21,780,3.5
21,858,2.5
21,1036,3.5
21,1196,4.5
21,1198,4.0
21,1200,2.0
21,1210,4.5
21,1214,1.5
21,1221,2.5
21,1240,3.5
21,1265,3.5
21,1270,5.0
21,1291,4.0
21,1580,4.5
21,1704,3.5
21,1721,3.5
21,2571,4.0
21,2628,4.0
21,2762,0.5
21,2858,2.0
21,2959,2.0
21,3578,2.5
21,3793,3.5
21,4306,4.0
21,4886,3.5
21,4993,1.5
21,5952,2.0
21,6539,4.0
21,6874,1.5
21,7153,1.5
21,8961,3.5
21,58559,3.5
21,79132,3.5
25,231,4.0
25,260,5.0
25,527,5.0
25,1198,5.0
25,2028,5.0
25,2571,5.0
25,3578,5.0
25,4993,5.0
25,5952,5.0
25,7153,5.0
25,58559,5.0
25,79132,5.0
32,1,3.0
32,32,4.0
32,50,5.0
32,153,3.0
32,260,5.0
32,296,5.0
32,318,5.0
32,527,4.0
32,592,5.0
32,593,5.0
32,608,5.0
32,648,3.0
